Search results:
    jquery-atmosphere git://github.com/flowersinthesand/bower-jquery-atmosphere.git
    jt.timepicker git://github.com/jonthornton/jquery-timepicker
    jQuery.dotdotdot git://github.com/BeSite/jQuery.dotdotdot.git
    jquery-filedrop git://github.com/weixiyen/jquery-filedrop.git
    jquery.gritter git://github.com/jboesch/Gritter.git
    sparkline git://github.com/gwatts/jquery.sparkline.git
    jquery-ui-amd git://github.com/teambition/jquery-ui-amd.git
    jquery-timepicker-jt git://github.com/jonthornton/jquery-timepicker.git
    jquery-timepicker-addon git://github.com/iamdenny/jQuery-Timepicker-Addon.git
    wookmark-jquery git://github.com/GBKS/Wookmark-jQuery.git
    jquery.actual git://github.com/dreamerslab/jquery.actual.git
    growl git://github.com/ksylvest/jquery-growl.git
    jquery.hotkeys git://github.com/tzuryby/jquery.hotkeys.git
    jquery.iframe-transport git://github.com/cmlenz/jquery-iframe-transport.git
    jquery-address git://github.com/asual/jquery-address.git
    jquery.layout git://github.com/jlbfalcao/jquery.layout.git
    jquery-mobile-bower git://github.com/jobrapido/jquery-mobile-bower.git
    jquery.cycle git://github.com/kertal/cycle
    jquerypp git://github.com/bitovi/jquerypp.git
    jquery.form git://github.com/chiefy/form.git
    jquery-htmlclean git://github.com/components/jquery-htmlclean.git
    jcarousellite git://github.com/kswedberg/jquery-carousel-lite.git
    jquery-steps git://github.com/rstaib/jquery-steps.git
    embedly-jquery git://github.com/embedly/embedly-jquery.git
    jquery-tmpl git://github.com/jquery/jquery-tmpl.git
    jquery-transform git://github.com/louisremi/jquery.transform.js.git
    jquery-md5 git://github.com/placemarker/jQuery-MD5
    jquery.livequery git://github.com/hazzik/livequery.git
    jquery-tiny-pubsub git://github.com/wixo/jquery-tiny-pubsub.git
    jquery-resize git://github.com/cowboy/jquery-resize.git
    jquery-validate git://github.com/jzaefferer/jquery-validation.git
    cometd-js-jquery git://github.com/askarby/cometd-js-jquery
    jquery.fileDownload git://github.com/maxmert/jquery.fileDownload
    jquery.sparkline git://github.com/gwatts/jquery.sparkline.git
    jquery.circular git://github.com/chikamichi/jquery.circular.git
    spin git://github.com/ksylvest/jquery-spin.git
    jquery.event.scrollizzle git://github.com/wwwsevolod/jquery.event.scrollizzle.git
    jquery-dotimeout git://github.com/cowboy/jquery-dotimeout.git
    jquery.customSelect git://github.com/adamcoulombe/jquery.customSelect.git
    jquery.expander git://github.com/kswedberg/jquery-expander.git
    jquery-simple-slider git://github.com/loopj/jquery-simple-slider.git
    jquery-uncheckable-radio git://github.com/kdimatteo/uncheckable-radio.git
    jquery-smallipop git://github.com/Sebobo/jquery.smallipop.git
    jquery-simplecolorpicker git://github.com/tkrotoff/jquery-simplecolorpicker.git
    jquery-selectboxit git://github.com/gfranko/jquery.selectBoxIt.js.git
    jquery-anchoring git://github.com/SmallImprovements/anchoring.git
    jquery-clockwinder git://github.com/intridea/jquery.clockwinder.git
    jquery.event.swipe git://github.com/stephband/jquery.event.swipe.git
    jquery.event.move git://github.com/stephband/jquery.event.move.git
    bacon.jquery git://github.com/baconjs/bacon.jquery
    jquery.jscrollpane git://github.com/blittle/jscrollpane.git
    jquery.bum-smack git://github.com/mrjoelkemp/jquery.bum-smack.git
    jquery-zclip git://github.com/patricklodder/jquery-zclip.git
    jquery-powertip git://github.com/stevenbenner/jquery-powertip.git
    jquery.floatThead git://github.com/mkoryak/floatThead.git
    jquery-modal git://github.com/kylefox/jquery-modal.git
    jquery.panzoom git://github.com/timmywil/jquery.panzoom.git
    jquery.watermark git://github.com/chiefy/jQuery-Watermark
    jquery.breakpoints git://github.com/xoxco/breakpoints.git
    jquery-html5-placeholder-shim git://github.com/parndt/jquery-html5-placeholder-shim.git
    url-parser git://github.com/allmarkedup/jQuery-URL-Parser.git
    jquery-hashchange git://github.com/cowboy/jquery-hashchange.git
    jquery-meiomask git://github.com/fabiomcosta/jquery-meiomask
    jquery.autoellipsis git://github.com/pvdspek/jquery.autoellipsis.git
    jquery.nicescroll git://github.com/inuyaksa/jquery.nicescroll.git
    jquery-textrange git://github.com/dwieeb/jquery-textrange.git
    jqjquery-wysibb git://github.com/wbb/WysiBB.git
    jquery-highlight git://github.com/knownasilya/jquery-highlight
    slimScroll git://github.com/rochal/jQuery-slimScroll.git
    jquery-outside-events git://github.com/cowboy/jquery-outside-events/
    jQuery-Storage-API git://github.com/julien-maurel/jQuery-Storage-API.git
